Id,LotFrontage,LotArea,LotShape,LandContour,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,No. of bathrooms,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SalePrice,Street_Pave,Alley_Pave,CentralAir_Y,MasVnrType_BrkFace,MasVnrType_Stone,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,BldgType_freq,SaleType_freq,SaleCondition_freq,MSSubClass_freq,MSZoning_freq,Neighborhood_freq,Condition1_freq,Condition2_freq,LotConfig_freq,RoofStyle_freq,RoofMatl_freq,Exterior1st_freq,Exterior2nd_freq,Foundation_freq,Heating_freq,Electrical_freq,GarageType_freq
1.0,65.0,8450.0,0.0,0.0,0.0,3.0,7.0,5.0,2003.0,2003.0,196.0,1.0,2.0,1.0,2.0,3.0,0.0,706.0,5.0,0.0,150.0,856.0,0.0,856.0,854.0,0.0,1710.0,3.0,1.0,1.0,8.0,0.0,0.0,5.0,3.5,2003.0,1.0,2.0,548.0,2.0,2.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2008.0,208500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.2047945205479452,0.7883561643835616,0.10273972602739725,0.863013698630137,0.9897260273972602,0.7205479452054795,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.9780821917808219,0.9143835616438356,0.630891950688905
2.0,80.0,9600.0,0.0,0.0,0.0,0.0,6.0,8.0,1976.0,1976.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,978.0,5.0,0.0,284.0,1262.0,0.0,1262.0,0.0,0.0,1262.0,3.0,1.0,2.0,6.0,0.0,1.0,2.0,2.5,1976.0,1.0,2.0,460.0,2.0,2.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,2007.0,181500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.36712328767123287,0.7883561643835616,0.007534246575342466,0.05547945205479452,0.9897260273972602,0.03219178082191781,0.7815068493150685,0.9821917808219178,0.1506849315068493,0.14657534246575343,0.43424657534246575,0.9780821917808219,0.9143835616438356,0.630891950688905
3.0,68.0,11250.0,1.0,0.0,0.0,3.0,7.0,5.0,2001.0,2002.0,162.0,1.0,2.0,1.0,2.0,2.0,0.0,486.0,5.0,0.0,434.0,920.0,0.0,920.0,866.0,0.0,1786.0,3.0,1.0,1.0,6.0,0.0,1.0,2.0,3.5,2001.0,1.0,2.0,608.0,2.0,2.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,2008.0,223500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.2047945205479452,0.7883561643835616,0.10273972602739725,0.863013698630137,0.9897260273972602,0.7205479452054795,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.9780821917808219,0.9143835616438356,0.630891950688905
4.0,60.0,9550.0,1.0,0.0,0.0,3.0,7.0,5.0,1915.0,1970.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,216.0,5.0,0.0,540.0,756.0,1.0,961.0,756.0,0.0,1717.0,3.0,1.0,1.0,7.0,0.0,1.0,1.0,2.0,1998.0,2.0,3.0,642.0,2.0,2.0,0.0,0.0,35.0,272.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2006.0,140000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.06917808219178082,0.0410958904109589,0.7883561643835616,0.03493150684931507,0.863013698630137,0.9897260273972602,0.18013698630136987,0.7815068493150685,0.9821917808219178,0.1410958904109589,0.026027397260273973,0.1,0.9780821917808219,0.9143835616438356,0.28063814358230604
5.0,84.0,14260.0,1.0,0.0,0.0,3.0,8.0,5.0,2000.0,2000.0,350.0,1.0,2.0,1.0,2.0,1.0,0.0,655.0,5.0,0.0,490.0,1145.0,0.0,1145.0,1053.0,0.0,2198.0,4.0,1.0,1.0,9.0,0.0,1.0,2.0,3.5,2000.0,1.0,3.0,836.0,2.0,2.0,0.0,192.0,84.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,12.0,2008.0,250000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.2047945205479452,0.7883561643835616,0.028082191780821917,0.863013698630137,0.9897260273972602,0.03219178082191781,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.9780821917808219,0.9143835616438356,0.630891950688905
6.0,85.0,14115.0,1.0,0.0,0.0,1.0,5.0,5.0,1993.0,1995.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,732.0,5.0,0.0,64.0,796.0,0.0,796.0,566.0,0.0,1362.0,1.0,1.0,2.0,5.0,0.0,0.0,5.0,2.5,1993.0,2.0,2.0,480.0,2.0,2.0,0.0,40.0,30.0,0.0,320.0,0.0,0.0,4.0,1.0,700.0,10.0,2009.0,143000.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.09863013698630137,0.7883561643835616,0.03356164383561644,0.863013698630137,0.9897260273972602,0.7205479452054795,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.002054794520547945,0.9780821917808219,0.9143835616438356,0.630891950688905
7.0,75.0,10084.0,0.0,0.0,0.0,0.0,8.0,5.0,2004.0,2005.0,186.0,1.0,2.0,0.0,2.0,1.0,0.0,1369.0,5.0,0.0,317.0,1686.0,0.0,1694.0,0.0,0.0,1694.0,3.0,1.0,1.0,7.0,0.0,1.0,1.0,3.0,2004.0,1.0,2.0,636.0,2.0,2.0,0.0,255.0,57.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,2007.0,307000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.36712328767123287,0.7883561643835616,0.0589041095890411,0.863013698630137,0.9897260273972602,0.7205479452054795,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.9780821917808219,0.9143835616438356,0.630891950688905
8.0,75.6,10382.0,1.0,0.0,0.0,3.0,7.0,6.0,1973.0,1973.0,240.0,2.0,2.0,1.0,2.0,2.0,1.0,859.0,2.0,32.0,216.0,1107.0,0.0,1107.0,983.0,0.0,2090.0,3.0,1.0,2.0,7.0,0.0,2.0,2.0,3.5,1973.0,1.0,2.0,484.0,2.0,2.0,0.0,235.0,204.0,228.0,0.0,0.0,0.0,4.0,4.0,350.0,11.0,2009.0,200000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8356164383561644,0.8678082191780822,0.8205479452054795,0.2047945205479452,0.7883561643835616,0.05,0.013013698630136987,0.9897260273972602,0.18013698630136987,0.7815068493150685,0.9821917808219178,0.15205479452054796,0.14178082191780822,0.43424657534246575,0.9780821917808219,0.9143835616438356,0.630891950688905
9.0,51.0,6120.0,0.0,0.0,0.0,1.0,7.0,5.0,1931.0,1950.0,0.0,2.0,2.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,952.0,952.0,1.0,1022.0,752.0,0.0,1774.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,1931.0,2.0,2.0,468.0,3.0,2.0,0.0,90.0,0.0,205.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,2008.0,129900.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8356164383561644,0.8678082191780822,0.06917808219178082,0.09863013698630137,0.14931506849315068,0.0773972602739726,0.03287671232876712,0.9897260273972602,0.7205479452054795,0.7815068493150685,0.9821917808219178,0.03424657534246575,0.026027397260273973,0.1,0.9780821917808219,0.018493150684931507,0.28063814358230604
10.0,50.0,7420.0,0.0,0.0,0.0,2.0,5.0,6.0,1939.0,1950.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,851.0,5.0,0.0,140.0,991.0,0.0,1077.0,0.0,0.0,1077.0,2.0,2.0,2.0,5.0,0.0,2.0,2.0,2.0,1939.0,1.0,1.0,205.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2008.0,118000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.021232876712328767,0.8678082191780822,0.8205479452054795,0.02054794520547945,0.7883561643835616,0.03972602739726028,0.03287671232876712,0.0013698630136986301,0.18013698630136987,0.7815068493150685,0.9821917808219178,0.1506849315068493,0.14657534246575343,0.1,0.9780821917808219,0.9143835616438356,0.630891950688905
